epoch, error
0, 3583.95825195
100, 4172.53027344
200, 3133.10791016
300, 3521.24389648
400, 2982.65795898
500, 3673.22998047
600, 3341.16625977
700, 3887.64257812
800, 2995.23339844
900, 3860.06103516
1000, 4351.03320312
1100, 2972.36865234
1200, 5176.09033203
1300, 3240.80664062
1400, 3915.85327148
1500, 3599.10668945
1600, 3500.15820312
1700, 3070.95825195
1800, 4074.4675293
1900, 2450.42260742
2000, 2880.90234375
2100, 3570.39990234
2200, 2546.02294922
2300, 3403.1640625
2400, 3152.79492188
2500, 2916.40332031
2600, 5436.05175781
2700, 2732.10424805
2800, 3415.50634766
2900, 3196.67822266
3000, 2895.45507812
3100, 3291.73754883
3200, 4027.30102539
3300, 2393.54541016
3400, 3165.18139648
3500, 2424.33105469
3600, 3243.32446289
3700, 2628.921875
3800, 2509.15307617
3900, 3310.88525391
4000, 2983.19580078
4100, 2813.72216797
4200, 3205.61938477
4300, 3586.91967773
4400, 3348.4987793
4500, 3587.3894043
4600, 3636.68115234
4700, 3514.29394531
4800, 3337.24462891
4900, 2687.17431641
5000, 2570.76293945
5100, 2148.18579102
5200, 3556.63964844
5300, 3547.64648438
5400, 2724.90234375
5500, 3566.06176758
5600, 2001.54101562
5700, 3279.3371582
5800, 2867.07250977
5900, 2932.93823242
6000, 2489.90673828
6100, 2836.41137695
6200, 3040.22338867
6300, 2587.44628906
6400, 2936.69726562
6500, 2711.07226562
6600, 2984.07250977
6700, 3192.43261719
6800, 2182.39501953
6900, 3563.36938477
7000, 3617.86474609
7100, 3082.0793457
7200, 2417.32666016
7300, 3805.52734375
7400, 3369.26049805
7500, 3753.98388672
7600, 2896.11914062
7700, 2794.08569336
7800, 2916.64990234
7900, 2205.81323242
8000, 3590.27075195
8100, 2752.50561523
8200, 2710.92626953
8300, 3127.48681641
8400, 2691.8190918
8500, 3683.52905273
8600, 3062.82226562
8700, 3177.69946289
8800, 2689.70898438
8900, 3215.70556641
9000, 3084.82397461
9100, 3289.62011719
9200, 2829.80249023
9300, 2553.35058594
9400, 2472.83496094
9500, 2888.70922852
9600, 2467.41308594
9700, 2755.18823242
9800, 2899.79711914
9900, 3308.59204102
